"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,          63,      -3.289039077,      -5.563548674,      -6.093783487,      -8.713165154,      -3.831925805
          0,           0,          64,      -3.294085981,      -5.567732739,       -6.09124245,      -8.709126751,      -3.834964274
          0,           0,          65,      -3.298580883,      -5.572042253,      -6.088954619,      -8.704469875,      -3.838306682
          0,           0,          66,      -3.302475532,      -5.576447868,      -6.087077981,      -8.699265389,      -3.841934524
          0,           0,          67,      -3.305745921,      -5.580921278,      -6.085723223,      -8.693607706,      -3.845821575
          0,           0,          68,      -3.308386315,      -5.585434307,      -6.084954722,      -8.687606513,         -3.849936
          0,           0,          69,      -3.310403359,      -5.589958284,      -6.084796321,      -8.681379474,      -3.854242639
          0,           0,          70,      -3.311811861,      -5.594463878,      -6.085238994,      -8.675046524,      -3.858705273
          0,           0,          71,      -3.312633112,      -5.598921429,      -6.086248273,      -8.668725873,      -3.863288648
          0,           0,          72,      -3.312895753,      -5.603301686,      -6.087770289,      -8.662531579,      -3.867960108
          0,           0,          73,      -3.312638421,      -5.607576739,      -6.089736118,      -8.656572315,      -3.872690718
          0,           0,          74,      -3.311912884,      -5.611720917,      -6.092064832,        -8.6509509,      -3.877455853
          0,           0,          75,      -3.310786225,      -5.615711451,      -6.094665984,      -8.645764076,      -3.882235251
          0,           0,          76,      -3.309340848,       -5.61952876,      -6.097442326,      -8.641102052,      -3.887012633
          0,           0,          77,      -3.307671533,      -5.623156306,      -6.100293396,      -8.637047345,      -3.891774995
          0,           0,          78,      -3.305879335,      -5.626580075,      -6.103120208,      -8.633672529,      -3.896511715
          0,           0,          79,      -3.304062636,      -5.629787766,      -6.105830882,      -8.631036551,      -3.901213628
          0,           0,          80,      -3.302306006,      -5.632767824,      -6.108346627,      -8.629179386,      -3.905872177
          0,           0,          81,      -3.300667728,      -5.635508454,      -6.110607234,       -8.62811486,      -3.910478748
          0,           0,          82,      -3.299166857,      -5.637996719,      -6.112575196,      -8.627821571,      -3.915024234
          0,           0,          83,      -3.297770773,      -5.640217807,      -6.114237722,      -8.628232026,      -3.919498847
          0,           0,          84,      -3.296384304,      -5.642154507,      -6.115606291,      -8.629220365,      -3.923892178
          0,           0,          85,      -3.294841901,      -5.643786942,      -6.116713807,      -8.630589619,      -3.928193442
          0,           0,          86,       -3.29290487,      -5.645092568,       -6.11760987,      -8.632060326,      -3.932391882
          0,           0,          87,      -3.290266254,      -5.646046464,      -6.118354869,      -8.633263604,      -3.936477254
          0,           0,          88,       -3.28656611,      -5.646621923,      -6.119013756,       -8.63374326,      -3.940440338
          0,           0,          89,      -3.281419109,      -5.646791364,      -6.119650221,      -8.632972528,      -3.944273423
          0,           0,          90,      -3.274454022,      -5.646527557,      -6.120321779,      -8.630390364,      -3.947970726
          0,           0,          91,      -3.265360767,      -5.645805121,      -6.121076095,      -8.625458505,      -3.951528701
          0,           0,          92,       -3.25393647,      -5.644602226,      -6.121948567,      -8.617733114,      -3.954946231
          0,           0,          93,      -3.240119599,      -5.642902397,      -6.122961128,      -8.606935992,      -3.958224679
          0,           0,          94,      -3.224002869,      -5.640696253,      -6.124122067,       -8.59300504,      -3.961367804
