"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          19,      -2.147748077,      0.2505517692,      0.2449216161,       3.301055317,       -5.71685103,       15761.82561,      0.1208384066,    0.006564226383,                 0,                 0,                 0,     0.04733298154,      0.1208384066,    0.006564226383,                 0,     0.05432235139,   0.0006145570265
          0,           0,          20,      -2.135360314,      0.2478295524,      0.2344298905,       3.311753103,      -5.699073829,       15761.82561,      0.1170818499,    0.009238225956,                 0,                 0,                 0,     0.05014576008,      0.1170818499,    0.009238225956,                 0,     0.07890399718,   0.0006145570265
          0,           0,          21,      -2.123191992,       0.246843393,      0.2267572376,        3.32338313,      -5.682198519,       15761.82561,       0.114013402,     0.01180095037,                 0,                 0,                 0,     0.05281878762,       0.114013402,     0.01180095037,                 0,      0.1035049403,   0.0006145570265
          0,           0,          22,      -2.111552719,      0.2480757005,      0.2234647446,       3.335356341,      -5.666411059,       15761.82561,      0.1115737242,     0.01420711386,                 0,                 0,                 0,     0.05530692691,      0.1115737242,     0.01420711386,                 0,       0.127333868,   0.0006145570265
          0,           0,          23,      -2.100528413,       0.251813198,      0.2253550667,       3.347261837,      -5.651688112,       15761.82561,      0.1096949475,     0.01643064366,                 0,                 0,                 0,     0.05757893608,      0.1096949475,     0.01643064366,                 0,       0.149784872,   0.0006145570265
          0,           0,          24,      -2.090133573,      0.2580263181,      0.2322126851,        3.35873504,      -5.637730355,       15761.82561,      0.1083078997,     0.01846533276,                 0,                 0,                 0,     0.05961846116,      0.1083078997,     0.01846533276,                 0,      0.1704892516,   0.0006145570265
          0,           0,          25,      -2.080218232,      0.2663290346,      0.2428919671,       3.369587993,      -5.624237607,       15761.82561,      0.1073474115,     0.02032260625,                 0,                 0,                 0,     0.06142415515,      0.1073474115,     0.02032260625,                 0,      0.1893162208,   0.0006145570265
          0,           0,          26,      -2.070509565,      0.2760198042,      0.2557259337,       3.379891988,      -5.611174982,       15761.82561,       0.106755064,     0.02202791665,                 0,                 0,                 0,     0.06300946195,       0.106755064,     0.02202791665,                 0,      0.2063407188,   0.0006145570265
          0,           0,          27,       -2.06079917,      0.2862148324,      0.2690101867,       3.389801011,      -5.598502819,       15761.82561,      0.1064800929,     0.02361497171,                 0,                 0,                 0,     0.06440071922,      0.1064800929,     0.02361497171,                 0,      0.2217782786,   0.0006145570265
          0,           0,          28,       -2.05106377,      0.2960750514,      0.2813635217,        3.39936322,      -5.586160879,       15761.82561,      0.1064791495,     0.02511986404,                 0,                 0,                 0,     0.06563467816,      0.1064791495,     0.02511986404,                 0,       0.235913455,   0.0006145570265
