"EVALUATION"    , "BUFFET"        , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RMS_NU_TILDE"  , "RefForce"      
20              , 0.003639951277  , 0.01055074055   , 58.96565884     , -0.005751153594 , 0.6221942471    , 0.0             , 0.6221313677    , 0.0             , 0.0             , 0.1009530423    , 0.0             , 0.0             , 0.0             , 6715.0          , -12.00016596    , -10.05546946    , -9.999609065    , -6.759193821    , -14.02320578    , 15761.82561     
21              , 0.003640495767  , 0.01054884273   , 58.97623332     , -0.005727586531 , 0.6221940748    , 0.0             , 0.6221310102    , 0.0             , 0.0             , 0.1011104868    , 0.0             , 0.0             , 0.0             , 4765.0          , -12.00040259    , -9.916673069    , -10.12134079    , -6.943605544    , -14.02853748    , 15761.82561     
22              , 0.003640093768  , 0.01054850012   , 58.97814864     , -0.005740334519 , 0.6221939494    , 0.0             , 0.6221310081    , 0.0             , 0.0             , 0.1010327836    , 0.0             , 0.0             , 0.0             , 6668.0          , -12.00027093    , -10.05746507    , -10.01973033    , -6.781887566    , -14.06817613    , 15761.82561     
23              , 0.003640209225  , 0.01054749803   , 58.98378811     , -0.005733490525 , 0.622194376     , 0.0             , 0.6221313887    , 0.0             , 0.0             , 0.1010723376    , 0.0             , 0.0             , 0.0             , 6105.0          , -12.00039166    , -10.14710187    , -10.13422234    , -6.922586198    , -14.07589185    , 15761.82561     
24              , 0.003640012708  , 0.01054616479   , 58.99124211     , -0.005733111137 , 0.6221943288    , 0.0             , 0.6221313605    , 0.0             , 0.0             , 0.1010860883    , 0.0             , 0.0             , 0.0             , 5524.0          , -12.00033232    , -10.27276515    , -10.40199778    , -7.200680571    , -13.94163083    , 15761.82561     
25              , 0.003637702741  , 0.01053001372   , 59.08167002     , -0.005741415534 , 0.6221934143    , 0.0             , 0.6221307961    , 0.0             , 0.0             , 0.101000897     , 0.0             , 0.0             , 0.0             , 7019.0          , -12.00060954    , -10.30959767    , -10.74559066    , -7.562932385    , -14.0846778     , 15761.82561     
26              , 0.003624937855  , 0.01046501743   , 59.4486398      , -0.005808553949 , 0.6221919502    , 0.0             , 0.6221310518    , 0.0             , 0.0             , 0.1005089519    , 0.0             , 0.0             , 0.0             , 8108.0          , -12.00040996    , -10.29376048    , -10.87011729    , -7.74315717     , -14.06798307    , 15761.82561     
27              , 0.003587301426  , 0.01035273024   , 60.09340056     , -0.005992917413 , 0.6221880368    , 0.0             , 0.6221307653    , 0.0             , 0.0             , 0.09895810352   , 0.0             , 0.0             , 0.0             , 8714.0          , -12.00075592    , -10.27765379    , -10.79936236    , -7.68091114     , -14.08564353    , 15761.82561     
28              , 0.003556648233  , 0.01030284888   , 60.38441273     , -0.006138347899 , 0.6221865049    , 0.0             , 0.6221314793    , 0.0             , 0.0             , 0.09758437889   , 0.0             , 0.0             , 0.0             , 8578.0          , -12.00018466    , -10.25579254    , -10.69767275    , -7.601890261    , -14.0640154     , 15761.82561     
29              , 0.003523785212  , 0.0102514951    , 60.68688622     , -0.006310930224 , 0.6221837673    , 0.0             , 0.6221313166    , 0.0             , 0.0             , 0.09594381806   , 0.0             , 0.0             , 0.0             , 8588.0          , -12.00079231    , -10.24937419    , -10.59466052    , -7.567739857    , -14.08237747    , 15761.82561     
30              , 0.003472857132  , 0.01013766808   , 61.36829384     , -0.006624337722 , 0.6221787214    , 0.0             , 0.6221313936    , 0.0             , 0.0             , 0.09306184984   , 0.0             , 0.0             , 0.0             , 8780.0          , -12.00058852    , -10.22387414    , -10.49966164    , -7.442400802    , -14.14462013    , 15761.82561     
31              , 0.003377293237  , 0.009846477774  , 63.18308944     , -0.007361261685 , 0.6221652546    , 0.0             , 0.6221308858    , 0.0             , 0.0             , 0.08671730397   , 0.0             , 0.0             , 0.0             , 9095.0          , -12.00035801    , -10.08799302    , -10.26272316    , -6.964157306    , -14.16715387    , 15761.82561     
32              , 0.003339235718  , 0.009479169042  , 65.63140554     , -0.007863249137 , 0.6221537097    , 0.0             , 0.6221311876    , 0.0             , 0.0             , 0.08302933434   , 0.0             , 0.0             , 0.0             , 9999.0          , -11.93028845    , -9.814645619    , -9.964798564    , -6.542998307    , -13.5807343     , 15761.82561     
33              , 0.003368166707  , 0.009416260481  , 66.06986912     , -0.007784492025 , 0.6221536548    , 0.0             , 0.6221310976    , 0.0             , 0.0             , 0.0831329239    , 0.0             , 0.0             , 0.0             , 7430.0          , -12.00030368    , -10.19750528    , -10.52478216    , -7.282302425    , -13.92250715    , 15761.82561     
34              , 0.003336761585  , 0.009332595265  , 66.66219709     , -0.008004510535 , 0.6221498097    , 0.0             , 0.6221313049    , 0.0             , 0.0             , 0.08128515124   , 0.0             , 0.0             , 0.0             , 7026.0          , -12.00007884    , -10.20537163    , -10.56114037    , -7.317451021    , -13.86778881    , 15761.82561     
35              , 0.003269024858  , 0.009262634973  , 67.16563071     , -0.008434035292 , 0.6221425047    , 0.0             , 0.62213072      , 0.0             , 0.0             , 0.07745020976   , 0.0             , 0.0             , 0.0             , 9551.0          , -12.00049018    , -9.955091443    , -10.12792663    , -6.622615373    , -13.66927559    , 15761.82561     
36              , 0.00330920644   , 0.009260281105  , 67.18270493     , -0.008186072793 , 0.6221457949    , 0.0             , 0.6221307331    , 0.0             , 0.0             , 0.07970185919   , 0.0             , 0.0             , 0.0             , 8246.0          , -12.00051276    , -10.15796277    , -10.34306611    , -7.026119034    , -14.28466682    , 15761.82561     
