"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,          63,       -2.64483982,      -4.927446738,      -5.430207596,      -8.060039739,      -3.235200439
          0,           0,          64,       -2.64343566,      -4.927483414,      -5.428110874,      -8.052222996,      -3.236442182
          0,           0,          65,      -2.641550269,      -4.927857235,       -5.42645144,      -8.043636728,       -3.23757477
          0,           0,          66,      -2.639100558,      -4.928549246,      -5.425228705,      -8.034324645,      -3.238599166
          0,           0,          67,      -2.636012205,      -4.929534996,      -5.424433157,       -8.02434479,      -3.239517067
          0,           0,          68,      -2.632225248,      -4.930784949,      -5.424047071,      -8.013768069,       -3.24033093
          0,           0,          69,      -2.627699199,      -4.932265032,      -5.424045672,      -8.002676289,      -3.241044029
          0,           0,          70,      -2.622417068,      -4.933937298,       -5.42439866,      -7.991159798,      -3.241660517
          0,           0,          71,       -2.61638777,      -4.935760702,      -5.425071979,      -7.979314884,      -3.242185462
          0,           0,          72,      -2.609646601,       -4.93769197,      -5.426029702,      -7.967241088,      -3.242624847
          0,           0,          73,      -2.602253728,       -4.93968653,      -5.427235873,       -7.95503861,      -3.242985534
          0,           0,          74,      -2.594290895,      -4.941699503,      -5.428656225,      -7.942805941,      -3.243275175
          0,           0,          75,      -2.585856819,      -4.943686704,      -5.430259641,      -7.930637824,      -3.243502103
          0,           0,          76,      -2.577061815,      -4.945605628,      -5.432019318,      -7.918623611,       -3.24367518
          0,           0,          77,      -2.568022256,      -4.947416384,       -5.43391358,      -7.906846005,      -3.243803639
          0,           0,          78,      -2.558855379,      -4.949082536,      -5.435926333,      -7.895380193,      -3.243896917
          0,           0,          79,      -2.549674779,      -4.950571823,      -5.438047177,      -7.884293309,      -3.243964489
          0,           0,          80,      -2.540586823,      -4.951856711,      -5.440271189,      -7.873644174,      -3.244015727
          0,           0,          81,      -2.531688027,      -4.952914769,      -5.442598435,      -7.863483263,      -3.244059771
          0,           0,          82,      -2.523063346,      -4.953728846,      -5.445033255,      -7.853852833,      -3.244105431
          0,           0,          83,      -2.514785249,      -4.954287042,      -5.447583361,      -7.844787176,      -3.244161115
          0,           0,          84,      -2.506913424,       -4.95458249,      -5.450258807,       -7.83631295,      -3.244234774
          0,           0,          85,      -2.499494959,       -4.95461295,      -5.453070885,      -7.828449555,      -3.244333863
          0,           0,          86,      -2.492564827,      -4.954380268,      -5.456030966,      -7.821209532,      -3.244465304
          0,           0,          87,       -2.48614658,      -4.953889717,      -5.459149353,      -7.814598968,      -3.244635452
          0,           0,          88,      -2.480253141,       -4.95314926,      -5.462434167,       -7.80861788,      -3.244850052
          0,           0,          89,      -2.474887625,      -4.952168798,      -5.465890305,      -7.803260592,      -3.245114182
          0,           0,          90,      -2.470044157,      -4.950959416,      -5.469518509,      -7.798516067,      -3.245432192
          0,           0,          91,      -2.465708646,      -4.949532688,      -5.473314569,      -7.794368228,      -3.245807633
          0,           0,          92,      -2.461859521,      -4.947900056,      -5.477268679,      -7.790796234,      -3.246243181
          0,           0,          93,      -2.458468426,       -4.94607232,      -5.481364982,      -7.787774747,      -3.246740568
          0,           0,          94,      -2.455500886,      -4.944059251,      -5.485581293,      -7.785274169,      -3.247300514
          0,           0,          95,      -2.452916974,      -4.941869334,      -5.489889036,      -7.783260881,      -3.247922688
          0,           0,          96,      -2.450671989,      -4.939509651,      -5.494253381,      -7.781697482,      -3.248605666
          0,           0,          97,      -2.448717181,      -4.936985894,      -5.498633589,      -7.780543051,      -3.249346932
          0,           0,          98,      -2.447000547,      -4.934302494,      -5.502983571,      -7.779753447,      -3.250142884
          0,           0,          99,      -2.445467711,      -4.931462863,       -5.50725266,       -7.77928167,      -3.250988875
          0,           0,         100,      -2.444062918,      -4.928469707,      -5.511386569,      -7.779078291,      -3.251879266
          0,           0,         101,      -2.442730127,      -4.925325414,      -5.515328556,      -7.779091981,      -3.252807503
