"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          20,      -10.03810298,      -7.552881533,      -7.600138453,      -4.598772729,       -12.0373891,       15761.82561,    0.007427898793,      0.6221308157,                 0,                 0,                 0,      0.1434877575,    0.005212215968,      0.6221533238,                 0,        83.7559629,   0.0006525650572
          0,           0,          21,      -10.03365946,      -7.545920671,      -7.602081064,      -4.595273821,      -12.03393498,       15761.82561,    0.007427898804,      0.6221308155,                 0,                 0,                 0,      0.1434877574,     0.00521221598,      0.6221533236,                 0,       83.75596274,   0.0006525650572
          0,           0,          22,      -10.02925527,      -7.539392326,      -7.606903586,      -4.592075478,      -12.03274985,       15761.82561,    0.007427898815,      0.6221308152,                 0,                 0,                 0,      0.1434877573,    0.005212215992,      0.6221533233,                 0,       83.75596258,   0.0006525650572
          0,           0,          23,      -10.02498428,      -7.532938398,      -7.613847362,      -4.588982645,      -12.03367701,       15761.82561,    0.007427898827,       0.622130815,                 0,                 0,                 0,      0.1434877573,    0.005212216004,      0.6221533231,                 0,       83.75596242,   0.0006525650572
          0,           0,          24,      -10.02094653,      -7.526252416,      -7.621859688,      -4.585859922,      -12.03616324,       15761.82561,    0.007427898838,      0.6221308147,                 0,                 0,                 0,      0.1434877572,    0.005212216017,      0.6221533228,                 0,       83.75596226,   0.0006525650572
          0,           0,          25,      -10.01720064,      -7.519162446,      -7.629893621,      -4.582621689,      -12.03952356,       15761.82561,    0.007427898849,      0.6221308145,                 0,                 0,                 0,      0.1434877571,    0.005212216028,      0.6221533226,                 0,        83.7559621,   0.0006525650572
          0,           0,          26,      -10.01374491,       -7.51165028,      -7.637174322,      -4.579218227,      -12.04317031,       15761.82561,    0.007427898859,      0.6221308142,                 0,                 0,                 0,      0.1434877571,    0.005212216039,      0.6221533223,                 0,       83.75596196,   0.0006525650572
          0,           0,          27,      -10.01052905,      -7.503820705,      -7.643328304,      -4.575619887,      -12.04677079,       15761.82561,    0.007427898868,       0.622130814,                 0,                 0,                 0,       0.143487757,    0.005212216049,      0.6221533221,                 0,       83.75596182,   0.0006525650572
          0,           0,          28,      -10.00748266,      -7.495840423,      -7.648341397,      -4.571816429,      -12.05030522,       15761.82561,    0.007427898876,      0.6221308137,                 0,                 0,                 0,      0.1434877569,    0.005212216058,      0.6221533218,                 0,       83.75596169,   0.0006525650572
          0,           0,          29,      -10.00454963,      -7.487875819,      -7.652372599,      -4.567823635,       -12.0540219,       15761.82561,    0.007427898882,      0.6221308135,                 0,                 0,                 0,      0.1434877568,    0.005212216066,      0.6221533216,                 0,       83.75596159,   0.0006525650572
